"YEAR","MONTH_NUM","FLT_DATE","FLT_ERT_1"
"2011",1,2011-01-01,14276
"2011",1,2011-01-02,22954
"2011",1,2011-01-03,23736
"2011",1,2011-01-04,22876
"2011",1,2011-01-05,23149
"2011",1,2011-01-06,22035
"2011",1,2011-01-07,23353
"2011",1,2011-01-08,19183
"2011",1,2011-01-09,22633
"2011",1,2011-01-10,25354
"2011",1,2011-01-11,24185
"2011",1,2011-01-12,24874
"2011",1,2011-01-13,24790
"2011",1,2011-01-14,25800
"2011",1,2011-01-15,19390
"2011",1,2011-01-16,21635
"2011",1,2011-01-17,24847
"2011",1,2011-01-18,24182
"2011",1,2011-01-19,24964
"2011",1,2011-01-20,25369
"2011",1,2011-01-21,26154
"2011",1,2011-01-22,18926
"2011",1,2011-01-23,21244
"2011",1,2011-01-24,24966
"2011",1,2011-01-25,24331
"2011",1,2011-01-26,25187
"2011",1,2011-01-27,25335
"2011",1,2011-01-28,26396
"2011",1,2011-01-29,19388
"2011",1,2011-01-30,21630
"2011",1,2011-01-31,25265
"2011",2,2011-02-01,24539
"2011",2,2011-02-02,24841
"2011",2,2011-02-03,25532
"2011",2,2011-02-04,26122
"2011",2,2011-02-05,19181
"2011",2,2011-02-06,21519
"2011",2,2011-02-07,25500
"2011",2,2011-02-08,24514
"2011",2,2011-02-09,25605
"2011",2,2011-02-10,25730
"2011",2,2011-02-11,26691
"2011",2,2011-02-12,19742
"2011",2,2011-02-13,21584
"2011",2,2011-02-14,25279
"2011",2,2011-02-15,24578
"2011",2,2011-02-16,25642
"2011",2,2011-02-17,26006
"2011",2,2011-02-18,26759
"2011",2,2011-02-19,19987
"2011",2,2011-02-20,21926
"2011",2,2011-02-21,25553
"2011",2,2011-02-22,24885
"2011",2,2011-02-23,25664
"2011",2,2011-02-24,25966
"2011",2,2011-02-25,27054
"2011",2,2011-02-26,20688
"2011",2,2011-02-27,22797
"2011",2,2011-02-28,25991
"2011",3,2011-03-01,25794
"2011",3,2011-03-02,26224
"2011",3,2011-03-03,26429
"2011",3,2011-03-04,27425
"2011",3,2011-03-05,20601
"2011",3,2011-03-06,22725
"2011",3,2011-03-07,25902
"2011",3,2011-03-08,25594
"2011",3,2011-03-09,26293
"2011",3,2011-03-10,26710
"2011",3,2011-03-11,27436
"2011",3,2011-03-12,20582
"2011",3,2011-03-13,22687
"2011",3,2011-03-14,26385
"2011",3,2011-03-15,25902
"2011",3,2011-03-16,26509
"2011",3,2011-03-17,26572
"2011",3,2011-03-18,27508
"2011",3,2011-03-19,20675
"2011",3,2011-03-20,23214
"2011",3,2011-03-21,26719
"2011",3,2011-03-22,25987
"2011",3,2011-03-23,26792
"2011",3,2011-03-24,27187
"2011",3,2011-03-25,27762
"2011",3,2011-03-26,20382
"2011",3,2011-03-27,24061
"2011",3,2011-03-28,27958
"2011",3,2011-03-29,27630
"2011",3,2011-03-30,28386
"2011",3,2011-03-31,28529
"2011",4,2011-04-01,29125
"2011",4,2011-04-02,21894
"2011",4,2011-04-03,24190
"2011",4,2011-04-04,28003
"2011",4,2011-04-05,27850
"2011",4,2011-04-06,28436
"2011",4,2011-04-07,28857
"2011",4,2011-04-08,29318
"2011",4,2011-04-09,22465
"2011",4,2011-04-10,24657
"2011",4,2011-04-11,28421
"2011",4,2011-04-12,27887
"2011",4,2011-04-13,28606
"2011",4,2011-04-14,29509
"2011",4,2011-04-15,30110
"2011",4,2011-04-16,23611
"2011",4,2011-04-17,25080
"2011",4,2011-04-18,27753
"2011",4,2011-04-19,27245
"2011",4,2011-04-20,28231
"2011",4,2011-04-21,28115
"2011",4,2011-04-22,25334
"2011",4,2011-04-23,21891
"2011",4,2011-04-24,22432
"2011",4,2011-04-25,25402
"2011",4,2011-04-26,28189
"2011",4,2011-04-27,28755
"2011",4,2011-04-28,29205
"2011",4,2011-04-29,29643
"2011",4,2011-04-30,23998
"2011",5,2011-05-01,25952
"2011",5,2011-05-02,28853
"2011",5,2011-05-03,28797
"2011",5,2011-05-04,29665
"2011",5,2011-05-05,30309
"2011",5,2011-05-06,30409
"2011",5,2011-05-07,23917
"2011",5,2011-05-08,26092
"2011",5,2011-05-09,29743
"2011",5,2011-05-10,29467
"2011",5,2011-05-11,29616
"2011",5,2011-05-12,30097
"2011",5,2011-05-13,30632
"2011",5,2011-05-14,23953
"2011",5,2011-05-15,26095
"2011",5,2011-05-16,29731
"2011",5,2011-05-17,28684
"2011",5,2011-05-18,30433
"2011",5,2011-05-19,30618
"2011",5,2011-05-20,30989
"2011",5,2011-05-21,24476
"2011",5,2011-05-22,26468
"2011",5,2011-05-23,30049
"2011",5,2011-05-24,28841
"2011",5,2011-05-25,29605
"2011",5,2011-05-26,30869
"2011",5,2011-05-27,31709
"2011",5,2011-05-28,25617
"2011",5,2011-05-29,27176
"2011",5,2011-05-30,30346
"2011",5,2011-05-31,29886
"2011",6,2011-06-01,31108
"2011",6,2011-06-02,27593
"2011",6,2011-06-03,28131
"2011",6,2011-06-04,25163
"2011",6,2011-06-05,28104
"2011",6,2011-06-06,30388
"2011",6,2011-06-07,30302
"2011",6,2011-06-08,30703
"2011",6,2011-06-09,31773
"2011",6,2011-06-10,32700
"2011",6,2011-06-11,26115
"2011",6,2011-06-12,26439
"2011",6,2011-06-13,29110
"2011",6,2011-06-14,31011
"2011",6,2011-06-15,31299
"2011",6,2011-06-16,31999
"2011",6,2011-06-17,32833
"2011",6,2011-06-18,26305
"2011",6,2011-06-19,28206
"2011",6,2011-06-20,31749
"2011",6,2011-06-21,31084
