"APT_ICAO","flights","delays","dly_flt"
"LGMK",8967,94853,10.5780082524813
"LGSR",10544,65783,6.23890364188164
"LGRP",18904,93275,4.93414092255607
"EHAM",254553,1077681,4.23362128908322
"LPPT",110466,456584,4.13325367081274
"LGZA",6549,26031,3.97480531378836
"LGAV",110397,394180,3.57056804079821
"LGSA",12158,42311,3.48009541042935
"LGKF",3621,12133,3.35073184203259
"LFMD",7004,22866,3.26470588235294
"LPPR",49420,152831,3.09249291784703
"EGKK",142466,415366,2.91554476155714
"EGLC",42131,115614,2.74415513517363
"LGIR",27578,61641,2.23515120748423
"LTBA",66265,135143,2.03943258130235
"LSZH",134596,261231,1.94085262563523
"EGLL",239060,441846,1.84826403413369
"LSGS",3131,5679,1.81379750878314
"LCPH",9843,16822,1.7090317992482
"LLBG",83348,132245,1.5866607477084
"LFPB",26742,42106,1.57452696133423
"LFPO",110860,152455,1.37520295868663
"LESJ",118,160,1.35593220338983
"LEBL",172240,231813,1.34587203901533
"LEMD",212996,274635,1.28939041108753
"LFLS",3610,4408,1.22105263157895
"LIPZ",47622,52500,1.10243164923775
"LFLI",674,742,1.10089020771513
"LEPA",108556,117040,1.07815321124581
"LSGG",89545,92755,1.03584789770506
"LICC",37710,37996,1.00758419517369
"ELLX",38184,38192,1.00020951183742
"LFPN",5036,4621,0.917593328038126
"LOWW",140854,128139,0.909729223167251
"EBBR",114639,103307,0.901150568305725
"EDDF",256939,224037,0.871946259618042
"EPWA",97062,83718,0.862520862953576
"LFBZ",6180,4797,0.77621359223301
"EGGW",70484,53631,0.760896089892742
"EDDL",112779,76945,0.682263541971466
"LFLB",3667,2290,0.624488682847014
"EDDH",74661,41649,0.557841443323824
"LFRM",667,309,0.463268365817091
"LFKC",3021,1308,0.432969215491559
"LGKO",9971,4134,0.414602346805737
"LIRP",22060,9134,0.414052583862194
"LFBD",37333,15185,0.406744703077706
"EFHK",97314,36013,0.37007008241363
"EGSS",99217,36709,0.369986998195874
"EDDP",37723,13241,0.351006017548975
